Platform,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
PS,Fighting,Sony Computer Entertainment,2.26,1.89,1.36,0.23,5.74
DS,Simulation,505 Games,3.13,1.94,0.07,0.58,5.72
PS4,Shooter,Activision,2.49,2.05,0.16,0.96,5.65
NES,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
PS3,Action,Ubisoft,2.54,1.95,0.21,0.87,5.57
N64,Fighting,Nintendo,2.95,0.6,1.97,0.04,5.55
X360,Adventure,Ubisoft,3.28,1.65,0.07,0.55,5.55
PS3,Action,Warner Bros. Interactive Entertainment,2.7,1.91,0.11,0.8,5.53
X360,Racing,Microsoft Game Studios,2.99,1.92,0.1,0.51,5.51
PSP,Role-Playing,Capcom,0.47,0.57,4.13,0.34,5.5
GBA,Platform,Nintendo,3.14,1.24,0.91,0.2,5.49
GBA,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
GBA,Platform,Nintendo,3.21,1.11,0.95,0.2,5.46
N64,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
PS3,Shooter,Activision,2.72,1.87,0,0.84,5.43
PS2,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
PS3,Misc,Sony Computer Entertainment,1.97,2.51,0,0.94,5.42
PS3,Role-Playing,Square Enix,1.74,1.24,1.87,0.52,5.36
GB,Puzzle,Nintendo,2.18,0.96,2,0.2,5.34
GB,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
X360,Action,Ubisoft,3.13,1.71,0.03,0.44,5.3
PS,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.3
PS2,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
N64,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
X360,Action,Ubisoft,3.1,1.56,0.08,0.51,5.27
DS,Puzzle,Nintendo,1.22,2.48,1.03,0.52,5.26
PS,Action,Eidos Interactive,2.3,2.46,0.2,0.28,5.24
PS2,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
PS2,Role-Playing,Square Enix,0.65,0.75,3.61,0.2,5.21
PC,Role-Playing,Activision,2.43,2.15,0,0.62,5.2
GBA,Platform,Nintendo,2.93,1.25,0.83,0.2,5.2
WiiU,Platform,Nintendo,2.32,1.3,1.27,0.31,5.19
GB,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
X360,Action,Electronic Arts,1.08,3.48,0.03,0.58,5.18
DS,Action,Nintendo,1.9,1.83,0.95,0.49,5.17
SNES,Platform,Nintendo,2.1,0.74,2.2,0.11,5.15
3DS,Simulation,Nintendo,0.96,2.02,1.89,0.28,5.15
DS,Sports,Sega,1.64,2.48,0.44,0.58,5.14
PS2,Shooter,Electronic Arts,1.98,2.23,0.13,0.8,5.13
GB,Platform,Nintendo,2.71,0.61,1.7,0.11,5.13
X360,Role-Playing,Microsoft Game Studios,3.59,1.11,0.05,0.38,5.13
XOne,Shooter,Activision,3.21,1.53,0.01,0.38,5.13
PC,Simulation,Microsoft Game Studios,3.22,1.69,0,0.2,5.12
PS2,Misc,RedOctane,3.81,0.63,0,0.68,5.12
PS3,Action,Capcom,1.96,1.43,1.08,0.65,5.11
XOne,Action,Take-Two Interactive,2.66,2.01,0,0.41,5.08
PS,Sports,Activision,3.05,1.41,0.02,0.2,4.68
Wii,Simulation,Nintendo,1.87,1.12,1.32,0.37,4.68
PS2,Action,Electronic Arts,1.94,1.95,0.08,0.7,4.67
X360,Racing,Microsoft Game Studios,2.08,2.04,0.06,0.47,4.64
PS,Action,Eidos Interactive,2.29,1.97,0.13,0.24,4.63
Wii,Misc,Activision,3.06,1.12,0,0.44,4.62
SNES,Action,Nintendo,2.42,0.91,1.15,0.13,4.61
GC,Action,Nintendo,2.6,0.99,0.89,0.13,4.6
Wii,Sports,Sega,1.89,1.99,0.22,0.48,4.58
3DS,Action,Nintendo,1.78,1.39,1.1,0.3,4.58
WiiU,Shooter,Nintendo,1.55,1.15,1.44,0.43,4.57
PS4,Action,Sony Computer Entertainment,1.78,1.87,0.07,0.82,4.55
X360,Misc,Activision,3.19,0.92,0.01,0.42,4.53
PS2,Sports,Electronic Arts,4.18,0.26,0.01,0.08,4.53
2600,Platform,Activision,4.21,0.24,0,0.05,4.5
PS2,Sports,Electronic Arts,3.63,0.24,0.01,0.61,4.49
PS2,Action,Activision,2.71,1.51,0.03,0.23,4.48
PS,Role-Playing,Enix Corporation,0.2,0.14,4.1,0.02,4.47
PS4,Action,Sony Computer Entertainment,1.96,1.69,0.08,0.74,4.47
PS3,Shooter,Activision,1.54,1.94,0.19,0.77,4.45
